Chicago,41 53 34,-87 37 60,Gary,Springfield
Springfield,39 46 49,-89 38 52, Chicago, Champaign,St. Louis
St. Louis,38 36 48,-90 13 09,Springfield,Evansville,Festus
Festus,38 13 08,-90 16 45,St. Louis,Cape Girardeau
Cape Girardeau,37 18 07,-89 46 59,Festus,Turell
Turell,35 23 29,-90 16 19,Cape Girardeau, Memphis
Memphis,35 08 10,-89 43 0,Nashville,Tupelo
Tupelo,34 15 28,-88 13 05,Memphis,Birmingham
Gary,41 33 43,-87 18 24,Chicago,Parr,Michigan City
Parr,40 59 04,-87 13 04,Gary,Indianapolis
Michigan City,41 42 09,-86 26 46,Gary,Fremont,Niles
Champaign,40 06 54,-87 20 06,Springfield,Hillsboro
Evansville,38 09 30,-87 39 53,St. Louis,Louisville
Nashville,36 08 19,-86 31 24,Memphis,Birmingham,Bowling Green,Monterey,Chattanooga
Birmingham,33 30 24,-85 4 57,Nashville,Atlanta,Tupelo
Indianapolis,39 42 16,-85 24 14,Parr,Hillsboro,Louisville,Greensburg
Fremont,41 39 18,-85 51 13,Michigan City,Metz
Hillsboro,40 06 29,-87 10 21,Champaign,Indianapolis
Louisville,38 15 0,-85 44 09,Evansville,Indianapolis,Cincinnati,Lexington,Munfordville
Bowling Green,37 0 15,-86 0 31,Nashville,Munfordville
Monterey,36 08 16,-85 16 39,Nashville,Ozone
Chattanooga,35 01 49,-85 18 45,Nashville,Knoxville,Atlanta
Atlanta,33 43 48,-84 23 10,Birmingham,Chattanooga,Charlotte
Greensburg,39 21 42,-85 22 23,Indianapolis,Harrison
Metz,41 37 44,-84 42 32,Fremont,Toledo
Cincinnati,39 07 40,-83 58 45,Harrison,Lima,Columbus,Lexington,Louisville
Lexington,38 01 26,-84 24 10,Cincinnati,Knoxville,Louisville,Charleston
Munfordville,37 15 41,-85 52 56,Louisville,Bowling Green
Ozone,35 53 04,-84 47 29,Knoxville,Monterey
Knoxville,35 57 06,-82 50 27,Johnson City,Chattanooga,Ozone,Lexington
Charlotte,35 13 42,-80 50 34,Atlanta,Hendersonville,Hillsville
Harrison,39 16 30,-84 47 16,Greensburg,Cincinnati
Toledo,41 34 18,-83 37 50,Detroit,Sandusky,Findlay,Metz
Lima,40 43 55,-83 25 42,Cincinnati,Findlay
Columbus,39 57 25,-83 0 16,Cincinnati,Cleveland,Wheeling,Charleston
Charleston,38 20 58,-81 38 24,Lexington,Columbus,Morgantown,Hillsville
Johnson City,36 18 41,-82 21 18,Knoxville,Asheville
Hendersonville,35 16 09,-82 22 19,Asheville,Charlotte
Hillsville,36 45 15,-80 44 02,Charleston,Charlotte
Detroit,42 18 38,-83 02 38,Jackson,Toledo
Sandusky,41 19 10,-82 36 53,Toledo,Cleveland
Findlay,41 02 06,-83 38 53,Toledo,Lima
Cleveland,41 26 47,-81 39 18,Sandusky,Columbus,Pittsburgh
Wheeling,40 03 22,-80 43 18,Columbus,Pittsburgh
Morgantown,39 37 49,-80 37 28,Charleston,Pittsburgh
Asheville,35 33 54,-82 33 26,Johnson City,Hendersonville
Jackson,42 15 49,-84 23 52,Niles,Detroit
Pittsburgh,40 25 10,-79 59 17,Wheeling,Cleveland,Morgantown
Niles,41 47 53,-86 14 47,Jackson,Michigan City
